participant_id,avg_daily_sm_hours,avg_daily_screen_time_hours,avg_work_study_hours_per_day,years_on_social_media,attention_span_minutes,deep_work_duration_minutes,reading_duration_minutes_per_day,tasks_completed_per_day,avg_sleep_hours,withdrawal_attempt_count,longest_detox_days,productivity_self_rating,dopamine_rush_feel_score,fomo_score,comparison_to_others_score,validation_seeking_score,decision_fatigue_score,anxiety_when_phone_unavailable,restlessness_score,dopamine_dysregulation_index,digital_wellbeing_score,sm_addiction_risk_score
P0001,7.5,11.0,6.0,4,8,20,10,3,5.5,9,2,4,9,8,7,8,8,9,8,8.8,9.2,2.1
P0002,8.0,12.0,5.5,5,7,15,8,2,5.0,10,1,3,10,9,8,9,9,10,9,9.5,9.8,1.5
P0003,6.5,10.0,6.5,3,10,25,12,4,6.0,8,2,4,8,7,7,7,7,8,7,8.0,8.5,2.8
P0004,6.0,10.5,5.0,6,12,25,15,3,6.0,9,3,4,8,7,6,6,7,8,8,7.8,8.2,2.9
P0005,7.0,11.5,6.0,4,8,18,10,3,5.5,9,2,3,9,8,8,8,8,9,9,9.0,9.3,2.0
P0006,6.5,10.0,6.0,3,10,20,12,3,6.0,8,2,4,8,7,6,7,7,8,8,8.0,8.4,2.7
P0007,5.5,9.5,6.5,5,12,30,15,4,6.5,8,3,4,7,8,8,7,7,7,8,7.5,8.0,3.2
P0008,5.0,9.0,7.0,4,15,35,20,4,6.5,7,3,5,7,6,5,5,6,7,6,6.5,7.0,4.0
P0009,7.0,11.0,5.5,5,8,18,10,3,5.5,10,2,3,9,8,8,9,8,9,9,9.2,9.4,2.0
P0010,5.5,9.0,6.0,3,12,28,15,4,6.5,7,2,5,7,6,6,6,6,7,7,7.2,7.6,3.5
P0011,5.0,9.0,6.5,5,14,32,18,4,7.0,7,3,5,7,7,7,7,6,7,7,6.8,7.2,3.8
P0012,6.5,10.5,5.5,4,10,22,12,3,6.0,9,2,4,8,7,6,6,7,8,8,7.9,8.3,2.8
P0013,6.0,10.0,6.0,4,12,28,14,4,6.5,8,2,4,8,7,8,8,7,8,8,7.8,8.1,3.0
P0014,5.5,9.0,7.0,5,15,35,22,4,7.0,6,4,5,7,6,5,5,5,6,6,6.2,6.8,4.2
P0015,7.5,12.0,5.5,6,7,15,8,3,5.5,10,1,3,9,9,9,9,9,9,9,9.5,9.7,1.8
P0016,5.0,9.5,6.5,4,14,30,18,4,7.0,7,3,5,7,6,5,6,6,7,7,6.5,7.0,3.8
P0017,6.0,10.0,6.0,4,12,28,14,4,6.5,8,2,4,8,7,7,7,7,7,7,7.5,8.0,3.2
P0018,5.0,8.5,8.0,6,18,45,25,5,7.0,5,4,5,6,5,5,4,5,6,5,5.5,6.0,4.8
P0019,7.0,11.0,6.5,3,8,18,10,3,5.5,9,2,3,9,8,8,8,8,9,8,9.0,9.3,2.1
P0020,6.5,10.0,6.0,4,11,24,13,3,6.0,8,2,4,8,7,6,6,7,8,7,8.0,8.3,2.8
P0021,7.0,11.5,6.0,4,8,18,10,3,5.5,9,2,3,9,8,8,9,8,9,9,9.2,9.5,2.0
P0022,4.5,8.0,7.5,5,18,45,28,5,7.0,5,4,5,6,5,5,4,5,6,5,5.2,5.8,5.0
P0023,6.5,10.5,6.0,3,10,22,12,3,6.0,8,2,4,8,7,7,7,7,8,8,7.8,8.2,2.9
P0024,5.5,9.0,6.5,4,13,30,16,4,6.5,7,3,5,7,6,6,6,6,7,7,6.8,7.3,3.7
P0025,6.0,10.0,6.0,4,12,26,13,4,6.5,8,2,4,8,7,8,8,7,8,8,7.6,8.0,3.1
P0026,4.5,8.5,6.5,4,18,40,20,4,7.0,5,3,5,6,5,4,5,5,6,5,5.5,6.0,4.8
P0027,5.5,9.5,6.0,6,13,30,15,4,6.5,7,3,4,7,7,8,7,7,7,8,7.2,7.8,3.4
P0028,5.5,9.0,6.5,4,16,38,20,4,6.5,6,3,5,6,5,5,5,5,6,5,5.8,6.2,4.5
P0029,7.0,11.0,6.0,4,9,20,10,3,5.5,9,2,3,9,8,8,8,8,9,8,9.0,9.3,2.2
P0030,5.0,8.5,6.5,3,16,38,20,4,7.0,5,3,5,6,5,5,4,5,6,5,5.5,6.0,4.8
P0031,5.0,9.0,6.5,5,14,33,18,4,7.0,7,3,5,7,7,7,6,6,7,7,6.5,7.0,3.9
P0032,7.0,11.0,6.0,5,9,20,11,3,5.5,9,2,4,9,8,6,7,7,8,8,8.8,9.0,2.4
P0033,7.5,11.5,5.5,5,8,17,9,3,6.0,10,1,3,9,8,9,9,8,9,9,9.4,9.6,1.9
P0034,4.5,8.5,8.0,7,20,50,28,5,7.5,5,5,5,6,5,4,4,4,5,4,5.0,5.5,5.2
P0035,8.0,12.0,6.0,4,7,14,8,2,5.0,10,1,3,10,9,8,9,9,10,9,9.5,9.8,1.5
P0036,5.5,9.5,6.0,4,14,32,18,4,6.5,7,3,5,7,6,5,6,6,7,7,6.5,7.0,3.8
P0037,6.0,10.0,6.0,6,12,28,14,4,6.5,8,2,4,8,7,7,7,7,8,7,7.5,8.0,3.2
P0038,6.0,10.0,6.0,3,10,22,12,3,6.0,8,2,4,8,7,6,7,7,8,8,7.9,8.3,2.8
P0039,5.0,9.0,6.5,5,14,33,18,4,7.0,7,3,5,7,7,8,7,6,7,7,6.8,7.2,3.8
