participant_id,sleep_quality,exercise_frequency,mental_fog_frequency,irritability_when_offline,mood_dependency_on_sm,reward_seeking_behavior,boredom_to_phone_reflex,inability_to_delay_gratification,detox_relapse_reason
P0001,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0002,Very poor,Never,Daily,Yes,Yes,5,Yes,Yes,1
P0003,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0004,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,7
P0005,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,4
P0006,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,5
P0007,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,7
P0008,Fair,1-2x/week,Often,Yes,Yes,4,Yes,Yes,10
P0009,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0010,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0011,Fair,1-2x/week,Often,Yes,Yes,4,Yes,Yes,8
P0012,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,4
P0013,Fair,Never,Daily,Yes,Yes,4,Yes,Yes,5
P0014,Fair,1-2x/week,Often,Yes,Sometimes,3,Yes,Yes,12
P0015,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,2
P0016,Fair,1-2x/week,Often,Yes,Yes,4,Yes,Yes,8
P0017,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0018,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,14
P0019,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,4
P0020,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,5
P0021,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0022,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,15
P0023,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,4
P0024,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,8
P0025,Fair,Never,Daily,Yes,Yes,4,Yes,Yes,5
P0026,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,12
P0027,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,8
P0028,Fair,1-2x/week,Often,Yes,Sometimes,3,Yes,Sometimes,10
P0029,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0030,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,10
P0031,Fair,1-2x/week,Often,Yes,Yes,3,Yes,Yes,9
P0032,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,4
P0033,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,2
P0034,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,18
P0035,Very poor,Never,Daily,Yes,Yes,5,Yes,Yes,1
P0036,Fair,1-2x/week,Often,Yes,Yes,3,Yes,Sometimes,8
P0037,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0038,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,5
P0039,Fair,1-2x/week,Often,Yes,Yes,4,Yes,Yes,9
P0040,Fair,1-2x/week,Often,Yes,Yes,3,Yes,Sometimes,10
P0041,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,4
P0042,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,10
P0043,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,4
P0044,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0045,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,14
P0046,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,6
P0047,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0048,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,10
P0049,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,15
P0050,Poor,Never,Daily,Yes,Yes,4,Yes,Yes,4
P0051,Poor,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,5
P0052,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,16
P0053,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0054,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,14
P0055,Fair,1-2x/week,Daily,Yes,Yes,4,Yes,Yes,6
P0056,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,10
P0057,Very poor,Never,Daily,Yes,Yes,5,Yes,Yes,1
P0058,Good,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,18
P0059,Poor,Never,Daily,Yes,Yes,5,Yes,Yes,3
P0060,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,10
P0061,Good,3-4x/week,Rarely,Sometimes,Rarely,3,Sometimes,Sometimes,20
P0062,Good,3-4x/week,Rarely,Rarely,Rarely,2,Sometimes,Rarely,25
P0063,Fair,1-2x/week,Often,Sometimes,Sometimes,3,Yes,Sometimes,14
P0064,Good,3-4x/week,Rarely,Rarely,Rarely,2,Sometimes,Rarely,22
P0065,Good,3-4x/week,Rarely,Rarely,Rarely,2,Rarely,Rarely,28
